,Title,"Q:Which day, month and year did the crime happen?",Q:what time of the day did the crime happen?,"Q:Did the crime happen in the morning, afternoon,  evening or night?","Q:Did the crime happend on a weekday, weekend or holidays?",Q:What type of crime?,Q:What is the type of the crime?,Q:Is the crime violent or non-violent?,Q:Use 5 key words to describe this crime.,"Q:Map the crime to the crime type: theft, homicide, sex abuse, robbery, burglary",Q:In what location did the crime happend?,Q:Give me the accurate location of the crime.,Q:Did the crime happen in a public or private place?,Q:Did the crime happen in a residential or commercial area?,Q:Did the crime happen indoors or outdoors?
247,3 climate activists arrested after blocking parkway,Wednesday,morning,morning,Wednesday morning,disorderly conduct,disorderly conduct,non-violent,protesters block traffic on the George Washington Memorial Park,robbery,George Washington Memorial Parkway,George Washington Memorial Parkway,public,Parkway,outdoors
248,Teen guilty in attack on Commanders player is again detained,Aug. 28,morning,evening,weekday,assault with a dangerous weapon,assault with a dangerous weapon,violent,The teen who pleaded guilty in connection,robbery,Northeast Washington,H Street NE,public,commercial,on a bustling street in Northeast Washington
249,Parks officer shot in District,23 November 2023,afternoon,afternoon,Wednesday,drug violation,drug violation,violent,A U.S. Park Police officer was wounded,robbery,12th and M streets NW,12th and M streets NW,public,residential,outdoors
250,Former teacher is charged with sexually abusing student in 2014,23 November 2023,FINAL B03,evening,weekend,sexual abuse,sexual abuse,non-violent,Former teacher at Duke Ellington School of the Arts,sex abuse,Northwest Washington,Northwest Washington,private,D.C.,indoors
251,Suit: Jail denied kosher requests,June 2022,a day,evening,weekday,murder,murder,violent,Jail denied kosher requests,homicide,Northeast Washington building,D.C.,jail,commercial,indoors
252,Six men on trial in 2018 fatal shooting,"July 16, 2018",Thursday,night,Thursday,gang-related attack,slaying,violent,The trial of six men charged in connection with the,homicide,D.C.,Northeast Washington,private,residential,courtyard outside Wilson's apartment
253,Local Digest,Tuesday,7 a.m.,7 a.m.,Tuesday,domestic,domestic,violent,Three adults were fatally stabbed in ,homicide,Woodbridge,Cannon Bluff Drive,private,residential,house
254,Russian cyber suspect charged,"April 26, 2021",morning,night,weekday,ransomware,ransomware,non-violent,"Federal authorities announced criminal charges, economic sanctions and ",ransomware,D.C.,D.C.,public,D.C.,street
255,Oath Keeper testifies to explicit plan to halt count,"Jan. 6, 2021",night,night,night,seditious conspiracy,seditious conspiracy,violent,Caleb Berry testified this week that the,seditious conspiracy,the U.S. Capitol,D.C.,U.S. Capitol,Capitol,indoors
256,"For D.C. street vendors, protections within reach","The day of that police encounter, Genesis had been",after midnight,night,Tuesday,street vending without a license,police harassment,violent,Ana Lemus Rodriguez hasn't forgotten the,robbery,Columbia Heights,Columbia Heights,public,commercial,outside
257,"Teen in shooting of Commanders player has absconded, judge says",6 April 2023,just before 6 p.m,evening,Wednesday,shooting,assault with a dangerous weapon,violent,A teenager who pleaded guilty in connection with,homicide,H Street NE,H Street NE,a store,commercial,outdoors
258,Judge orders attack suspect to be sent to hospital,Feb. 9,morning,morning,weekday,assaulting a congresswoman,assaulting a congresswoman,assault,A federal magistrate judge on Wednesday ordered the man,assault,elevator,The assault occurred Feb. 9 in the elevator of,elevator,residential,indoors
259,Hearing for boy held in attempted carjacking,Saturday,Saturday night,night,weekend,attempted carjacking,attempted carjacking,violent,A 12-year-old boy was ordered held in,robbery,D.C.,the 600 block of D Street NW,private,residential,outdoors
260,District alleges a rental 'cartel',2 November 2023,2 November 2023,afternoon,Wednesday,price-fixing,price-fixing,non-violent,D.C. Attorney General Brian L. Schwa,burglary,D.C.,D.C.,D.C.,residential,indoors
261,Rising homicide count concerns D.C. officials,Thursday,4:20 p.m.,evening,Thursday,homicide,homicide,violent,Three men were fatally shot in separate incidents Thursday,homicide,Southeast Washington,Frederick Douglass Place,private,residential,indoors
262,Accused in Md. killing had violent history,July29,evening,evening,night,murder,murder,violent,A judge orders the man arrested in the killing of,homicide,Clinton,Greenbelt,public,residential,outdoors
263,ACLU sues over use of helicopters at protests,"June 1, 2020",9:50 p.m,evening,weekday,racial justice demonstrations,racial justice demonstrations,peaceful,The ACLU of D.C. filed an,robbery,Washington,Lafayette Square,public,urban setting,outdoors
264,Alleged killer remains at large,August,about 10:45p.m.,evening,weekday,murder,murder,violent,Christopher P. Haynes escaped D.C,homicide,Kenilworth Avenue NE,Kenilworth Avenue NE,in front of a gas station,commercial,outdoors
265,Defense lawyer indicted on sex assault charges,"Jan. 20,",5:15 p.m. and 5:30,afternoon,weekday,rape,rape,non-violent,A longtime criminal defense lawyer in the District has,sex abuse,Northeast Washington,Northeast Washington,private,residential,near her home
266,Board calls to suspend Levy prosecutor for 60 days,3 August 2023,cold,night,weekday,cold homicide,killing,cold homicide,"Amanda Haines, a former assistant U.",homicide,Rock Creek Park,Rock Creek Park,Rock Creek Park,Rock Creek Park,outdoors
267,Transit police will get an assist,9 February 2023,morning and evening rush hours,morning,workweek,violent,shooting rampage,violent,D.C. police will soon start patrolling,homicide,Potomac Avenue Metro station,Potomac Avenue,public,Metro stations,onboard
268,Is D.C. crime that bad? The Guardian Angels think so.,9 May 2023,Saturday night,Saturday night,Saturday,"homicides, car thefts and ","homicides, car thefts and ",D.C. feels like it's in,The Guardian Angels are a group that marked,homicide,L'Enfant Plaza Metro station,L'Enfant Plaza Metro station,public,underground,underground
269,"Friendly-fire investigation is underway, officials say",Thursday,Thursday,Thursday,Thursday,Shooting,Shooting,violent,Officer was struck once and that the man who was,homicide,Naylor Gardens area,the 2800 block of Gainesville Street SE,public,residential,outdoors
270,Local Digest,12 July 2023,4:40 a.m.,early,Tuesday,shooting,homicide,violent,A man was shot and killed at a convenience,homicide,on the campus of Catholic University,4400 block of Wheeler Road,A man was shot and killed at a convenience,commercial,inside
271,Man charged in killings of 2 pot delivery drivers,2021,shortly before midnight,evening,weekday,murder,first-degree murder,violent,Corde Fitzhugh-Clingman,homicide,D.C.,D.C.,private,residential,indoors
272,Local Digest,18 January 2023,The crash occurred about 6:10 p.,afternoon,Sunday,rape,felony,The race between Rouse and Adams dre,"Aaron Rouse, a former National Football League","Aaron Rouse, a former National Football League",Virginia Beach,Virginia Beach,City,Virginia Beach,Rouse's victory flips the seat and
273,Local Digest,Sunday,Sunday afternoon,afternoon,Sunday,shooting,shooting,violent,Police in Fairfax County are investigating the death of,homicide,Mount Vernon Hospital,Holland Road,private,parking lot,indoors
274,D.C. mural of Black icon Paul Robeson defaced,Sunday,Sunday night,evening,Sunday,vandalism,vandalism,non-violent,A mural of Black icon Paul Robeson was,A mural of Black icon Paul Robeson ,U Street corridor,U Street NW,public,alley,alley
275,Local Digest,14 November 2023,early,morning,Saturday,homicide,homicide,violent,A 38-year-old man was fatally,homicide,in the 3500 block of Stanton Road,the 3500 block of Stanton Road,in the 3500 block of Stanton Road,residential,indoors
276,"Five people slain in three-day span, continuing surge of deadly violence",14 November 2023,morning,morning,weekend,homicides,homicides,violent,Five people in the District were killed in hom,homicide,Northwest,Northwest,residence,residential,indoors
277,D.C. to bolster youth detention,14 November 2023,Monday,night,Monday,violent,violent,violent,D.C. Mayor Muriel E. Bow,robbery,Youth Services Center,D.C.,public,residential,outdoors
278,Police arrest teen in fatal shooting of 14-year-old in Columbia Heights,Nov. 3,about 11:35 p.m,evening,Nov. 3,murder,second-degree murder while armed,violent,"A teenager, as his mother stood nearby, fatal",homicide,Columbia Heights neighborhood,Columbia Heights,public,residential,outdoors
279,How the GOP can help make D.C. safer: Let police reforms proceed,30 March 2023,a.m.,evening,weekday,D.C.,child abuse,non-violent,The officer found the child's mother and two,robbery,D.C.,D.C.,private,residential,outside
280,Bike hub at center of lease dispute,6 September 2023,6 September 2023,evening,weekday,eviction,the city failed to pay $150 in rent and abandoned,non-violent,A company that owns commercial leasing rights at Union,robbery,Union Station,Union Station,public,commercial,indoors
281,Local Digest,6 September 2023,the daytime,daytime,Labor Day,homicides,homicides,non-violent,Prince George's County police suspended an officer Tuesday,robbery,Prince George's County,Prince George's County,park,residential,outdoor
282,Local Digest,1 June 2023,about noon,about noon,Monday,homicides,homicide,violent,Police arrested two people in connection with the killing of,homicide,Fairfax County apartment complex,Fairfax,private,residential,outside
283,"Boy, 11, arrested in D.C. robbery",May 24,Saturday,night,weekend,robbery,robbery,armed,"Ryan Cummins, 45, says he",robbery,Northwest Washington,Irving Street in Northwest Washington,alley,residential,on Irving Street in Northwest Washington
284,Hyundai offers free anti-theft upgrades,25 July 2023,8 a.m. to 7 p,8 a.m.,weekday,violent,Auto theft,non-violent,Auto theft in D.C. has spiked,theft,D.C.,"Lot 8 at the old RFK Stadium,",public,residential,drive-through
285,Four killed in another violent D.C. weekend,25 July 2023,night,night,weekend,homicides,homicides,violent,Four people were killed in D.C. since,homicide,Columbia Heights,Girard Street NW,residential,residential,indoors
286,Thieves lift keys at valets in D.C.,Saturday,Saturday,night,Saturday,Auto thefts,Auto thefts and robberies,non-violent,The Washington Post WP FINAL B01,theft,Del Frisco's Double Eagle Steakhouse,Del Frisco's Double Eagle Steakhouse,private,commercial,outdoor
287,Rise in strangulations worries Fairfax County,7 March 2023,all-day,all-day,weekday,strangulation,strangulation,strangulation,"Fairfax County judges, police, prosecutors and",strangulation,Fairfax County,Fairfax County,private,residential,indoors
288,Survivor of 2022 sniper attack sues gunmakers,"April 22, 2022",afternoon,afternoon,weekend,mass shootings,mass shootings,violent,A Maryland woman who suffered gunshot wounds in,homicide,D.C.,Northwest Washington,private,residential,inside
289,Local Digest,15 August 2023,morning,morning,Friday morning,homicide,homicide,homicide,"Three killed in fire in Outer Banks,",homicide,"Kill Devil Hills, N.C.","Kill Devil Hills, N.C.",private,residential,outdoor
290,Ambulance suspect was wanted in other cases,Saturday,3:40 p.m.,afternoon,Saturday,fleeing from police and unauthorized use of,fleeing from police and unauthorized use of,violent,A man who police say plowed into vehicles,robbery,Gravelly Point Park,Virginia's Gravelly Point Park,public,highways,outdoors
291,Principal faces outside review,Friday,Monday morning,morning,Monday,sexual harassment,sexual harassment,non-violent,The school system is offering counseling services at Farqu,sex abuse,Farquhar Middle School,Farquhar Middle School,workplace,community,outside
292,Residents of complex awarded rent credits,10 May 2023,late April,late April,weekend,housing code violations,landlord's abject contempt,non-violent,A D.C. judge has ordered the owner,robbery,Marbury Plaza,Marbury Plaza,apartment complex,apartment,indoors
293,D.C. fentanyl case shows difficulty of opioid issue,2021,a.,evening,weekday,fentanyl,distributing fentanyl,non-violent,Andrew Cooper is facing up to 20 years in prison,homicide,D.C.,D.C.,private,residential,indoors
294,"Shooting outside postal facility is tied to domestic dispute, authorities say",Monday,morning,morning,Monday morning,violence,violence,violence,Davida Johnson pulled up to work at a,homicide,D.C.,D.C.,public,commercial,outside
295,"Surveillance photos show suspect, car being sought in firebombings",Sunday,early Sunday,early,Sunday,firebombings,firebombings,non-violent,D.C. police on Monday released surveillance photos,robbery,Washington Place NE,Washington Place NE,commercial establishments,commercial,outside
296,Md. man is slain in road rampage,Sunday,afternoon,afternoon,Sunday,carjackings,carjacking,violent,A longtime Metro bus driver who was waiting at,homicide,Prince George's County,Prince George's County,McDonald's,commercial,outdoor
297,"3 teens killed in unrelated incidents across city over weekend, police say",Sunday,early,early,weekend,homicide,homicide,violent,Police said the latest homicide victim was ,homicide,14th Street NW,1900 block of 14th Street NW,a McDonald's restaurant,residential,inside
298,Police arrest 16-year-old in two-night string of carjackings and robberies,Wednesday,early,night,two nights,carjackings and robberies,carjackings and robberies,violent,D.C. police have arrested a teenager,robbery,the 700 block of 31st Street SE,the 700 block of 31st Street SE,public,residential,outdoors
299,Woman charged in fatal Rock Creek crash,March 15,wee morning hours,morning,wee morning hours,DUIs,second-degree murder,violent,A woman with a history of DUIs has,homicide,Rock Creek Parkway,Rock Creek Parkway,Rock Creek Parkway,Rock Creek Parkway,outdoors
300,Suspected drunk driver hits state trooper's SUV,23 May 2023,morning,morning,Monday,drunk driver,drunk driver,non-violent,A suspected drunk driver slammed into,robbery,the Capital Beltway near University Boulevard East in Montgomery,Maryland,public,construction zone,outdoors
301,More free legal help for renters in peril,6 November 2023,6 November 2023,morning,weekday,eviction,eviction,non-violent,More low-income tenants facing eviction in,robbery,D.C.,D.C.,private,residential,indoors
302,Local Digest,6 November 2023,late,morning,weekend,fatal shootings,fatal shootings,violent,A 14-year-old boy was killed late,homicide,the District,14th and Fairmont streets NW,private,residential,indoors
303,D.C. dentist loses license after claim of sexual contact,2023,FINAL B01,night,weekday,sexual contact,sexual contact,non-violent,"Mark McClure, a longtime D",sex abuse,D.C.,Friendship Heights,private,D.C.,indoors
304,Activists guilty of blocking clinic,October 2020,a day,afternoon,weekday,illegally blockading a reproductive health,illegally blockading a reproductive health,violent,An antiabortion activist who kept f,sex abuse,D.C.,D.C.,private,residential,indoors
305,D.C. Superior Court hosts law fair for local junior and high school students,19 March 2023,Saturday,Saturday,Saturday,armed robbery,armed robbery,armed,armed robbery,robbery,D.C.,D.C.,courtroom,residential,indoors
306,Former top aide to Hogan still at large,"March 12, 2023",morning,morning,weekday,embezzlement,federal wire fraud and embezzlement,non-violent,Former top aide to Hogan still at large,embezzlement,"Naples, Fla.","Naples, Fla.",private,residential,outside
307,Teen is killed by Park Police,Saturday,around 9:30 a.m,morning,Saturday,A U.S. Park Police officer fatally,fatally shot,violent,A U.S. Park Police officer fatally,homicide,Northeast Washington,Northeast Washington,public,residential,outdoors
308,Convicted Jan. 6 rioter claimed to help police,"Jan. 6, 2021",Jan. 6,night,"Jan. 6, 2021",riot,assault,violent,"Ronald McAbee, 29, was found guilty",homicide,the West Terrace of the Capitol,D.C.,public,Capitol,on the West Terrace of the Capitol
309,Local Digest,Thursday,afternoon,afternoon,Thursday,murder,murder,violent,A man was fatally shot Thursday afternoon in the,homicide,Northeast Washington,Northeast Washington,neighborhood,residential,outdoors
310,Victim opposes release of rapist,2 February 2023,night,night,night,rape,armed rape,violent,The Washington Post generally does not identify victims of sexual,sex abuse,a Maryland motel,Chapter III,nightclub,nightclub,nightclub
311,Karon Blake's mother speaks out after fatal shooting: 'He had no right',Jan. 7,4 a.m.,about 4 a.m.,about 4 a.m. Jan. 7,second-degree murder,second-degree murder,violent,"Jason Lewis, 41, surrendered to police",homicide,D.C.,D.C.,neighborhood,residential,outdoors
312,D.C. suspect in girl's killing had prior charges,"May 14,",around 9:15 p.m,night,night,homicide,first-degree murder,violent,"Arianna Davis, the 10-year-old girl",homicide,Mayfair neighborhood of Northeast Washington,Hayes Street NE,private,residential,outdoors
313,Sentencing reveals the final day of slain boss,"June 23, 2021",7:58 a.m.,morning,Wednesday,murder,murder,violent,"Billy Phillips, 36, shot Geoffrey",homicide,Bethesda home,Bethesda home,private,residential,basement
314,Man sentenced to 16 years in prison for fentanyl distribution,26 June 2023,Friday,evening,Friday,fentanyl distribution,fentanyl distribution,violent,"Andrew Cooper, 47, pleaded guilty in",homicide,Washington,1900 block of Capitol Avenue NE,private,residential,indoors
315,Video of police shooting might not be released,Saturday,9:30 a.m,about 9:30 a.m.,Saturday,police shooting,fatally shot,violent,The U.S. Park Police officer who fatal,homicide,D.C.,300 block of 36th Street NE,private,residential,indoors
316,6 affiliated with Oath Keepers convicted,"Jan. 6, 2021",Monday,night,Monday,federal,federal crimes,violent,Six people described by authorities as being affiliated with the,robbery,the U.S. Capitol,Washington,public,Capitol,outdoor
317,Car theft ends in a fatal crash,Thursday,before 2 a.m.,morning,Thursday,carjacking,carjacking,violent,"A 15-year-old girl, who D",robbery,Brentwood Road and Bryant Street NE,Brentwood Road and Bryant Street NE,public,D.C.,outdoors
318,Hundreds join funeral of slain Md. judge,"Oct. 19,",8 p.m.,evening,Friday,slain,slain,violent,The crime left Wilkinson's family reel,homicide,driveway of his home,Washington County,private,residential,driveway
319,Lawyers clash in Trump case,mid-1990s,a dressing room,evening,weekday,defamation,defamation,non-violent,The D.C. Court of Appeals on,sex abuse,Manhattan,Manhattan,private,commercial,indoors
320,Thou Shalt Not Kill campaign meets numbness of so many killings,"Dec. 29,",9:30 p.m.,night,Monday,homicides,homicide,violent,"Leonard was shot 13 to 15 times, according to",homicide,Busboys and Poets restaurants,D.C.,private,commercial,outdoor
321,Police chief stands by not naming man in shooting,Saturday,early,early,weekend,shooting,shooting,violent,The shooting has sparked a fiery,homicide,Brookland,the 1000 block of Quincy Street NE,public,residential,outdoors
322,Family of man fatally shot by police at the Wharf sues city government,"July 16, 2022",after 9 p.m,evening,Sunday,wrongful death,wrongful death,violent,"The family of Lazarus David Wilson, who",homicide,the Wharf,the 800 block of Wharf Street SW,public,commercial,inside a restaurant
323,Pa. man sentenced in fatal drunken-driving crash,Jan. 15,6:10 p.m,evening,weekend,drunken-driving crash,drunken-driving crash,violent,A Philadelphia man was sentenced to eight years in,homicide,15th Street and Massachusetts Avenue NW,15th Street and Massachusetts Avenue NW,public,residential,indoors
324,D.C. carjacking attempt leads to fatal shooting,Saturday,Saturday night,night,Saturday,carjacking,carjacking,violent,A federal security officer on his way into work fatal,robbery,the District's Penn Quarter neighborhood,the 600 block of D Street NW,public,residential,outdoors
325,AG offers deal to police lodge over online whiskey sales,5 June 2023,FINAL B01,evening,weekday,illegally sold and shipped hundreds of bottles of whiskey,illegally sold and shipped hundreds of bottles of whiskey,non-violent,The D.C. attorney general's office,The D.C. attorney general's office,D.C.,The D.C. attorney general's office,Fraternal Order of Police Lodge 1,commercial,indoors
326,"At funeral, slain 13-year-old remembered as 'loving, caring and respectful'",Jan. 7,4 a.m.,around 4 a.m.,Monday,homicides,homicide,violent,Karon Blake was shot and killed Jan. 7,homicide,Brookland neighborhood,Northeast Washington,private,residential,outdoors
327,Rioter seen in Pelosi's office suite convicted,"Jan. 6, 2021",2:43 p.m,afternoon,"Jan. 6, 2021",obstructing an official proceeding,obstructing an official proceeding,violent,"Richard ""Bigo"" Barnett was convicted",robbery,the U.S. Capitol,U.S. Capitol,U.S. Capitol,U.S. Capitol,it did not matter to prosecutors whether Barnett
328,Agents not charged in death of Hogan aide,April 3,morning,morning,April 3,fugitive,wire fraud and embezzlement,violent,Prosecutors in Tennessee on Friday said,homicide,"just outside Knoxville, Tenn.","Knoxville, Tenn.",private,commercial,outside
329,Capitol rioter gets 50 months,"Jan. 6, 2021",Jan. 6,night,"Jan. 6, 2021",felony,felony,violent,"Thomas Sibick, 37, was sentenced",robbery,the U.S. Capitol,the U.S. Capitol,public,D.C.,outdoors
330,Hounded by ride-share denials,24 April 2023,FINAL B01,morning,Christmas Eve,Refusing to accommodate service dogs,Refusing to accommodate service dogs,non-violent,The National Federation of the Blind says it has ,D.C.,D.C.,D.C.,on the street,commercial,on the street
331,Two D.C. men sentenced in 2018 death of 10-year-old hit by stray bullet,"July 16, 2018",early on a summer evening,evening,summer evening,fatal shooting,fatal shooting,violent,Makiyah Wilson was shot in the back in,homicide,Northeast D.C. street,Northeast D.C.,private,residential,courtyard
332,Local Digest,20 November 2023,Sunday,night,Sunday,homicides,homicides,violent,homicide,homicide,Southeast Washington,Fairfield Park Drive,private,commercial,indoors
333,"Despite his critical injuries, man shot by police is expected to survive",Thursday,about 10 a.m,morning,Thursday,assault on a police officer,assault on a police officer,violent,Police say Reyes-Lopez was,assault with a gun in a domestic violence,7400 block of Georgia Avenue NW,7400 block of Georgia Avenue NW,private,residential,indoors
334,Jan. 6 cases rely on defining 'corruptly',"Jan. 6, 2021",Thursday,"Jan. 6, 2021","Jan. 6, 2021",obstruction of an official proceeding,obstruction of an official proceeding,obstructing,Defense lawyers have argued that simply acting to over,obstruction of an official proceeding,the U.S. Capitol,U.S. Capitol,Capitol,Capitol,Capitol
335,Local Digest,14 May 2023,about 1:50 a.m.,morning,Thursday,homicides,rape,violent,A student has been arrested and charged with rap,sex abuse,"on a school campus in Falls Church, Va",Falls Church City Public Schools Secondary Campus,school campus,residential,on a school campus
336,Former police lieutenant weighing a plea deal in library officer's shooting,Aug. 4,at the end of the day,afternoon,weekend,fatal shooting,fatal shooting,violent,A former D.C. police lieutenant,homicide,Anacostia Neighborhood Library,Anacostia Neighborhood Library,public,D.C.,indoors
337,"How over 2 decades of D.C. traffic tickets, about $1.3 billion, went unpaid",14 May 2023,rush-hour,rush-hour,weekend,traffic,traffic tickets,non-violent,About 6.2 million traffic tickets totaling nearly $,About 6.2 million traffic tickets totaling nearly $,D.C.,D.C.,public,D.C.,outdoors
338,"Girl dead, father injured in shooting",Wednesday,around 9:35 p.m,night,Wednesday,domestic-related,domestic-related,violent,A shooting inside a home Wednesday night in Prince,homicide,the 1800 block of Tanow Place in District Heights,the 1800 block of Tanow Place in District Heights,private,residential,inside
339,"Property crime is going viral in D.C., putting shoppers on edge",Friday,midday,midday,Friday,property crime,shoplifting,violent,"Shoplifting is not new, nor are organized",theft,Dupont Circle,Dupont Circle,private,commercial,indoors
340,,last Sunday afternoon,Sunday afternoon,afternoon,Sunday afternoon,murder,murder,violent,carjacking spree,homicide,drive-through lane of a Prince George,Prince George's County McDonald's,public,commercial,drive-through lane
341,Local Digest,21 August 2023,about 7:30 p.m.,night,Saturday,fatal shooting,fatal shooting,non-violent,Smoke ventilation was completed by about 9 p,robbery,Dulles International Airport,Dulles International Airport,public,Washington,indoors
342,Nonprofit aims to keep youth out of justice system,21 August 2023,after-school,afternoon,weekday,violent offenses,violent offenses,violent,Jacob's Ladder is a Maryland,robbery,Prince George's County,Fort Washington,public,residential,out of a brick building
343,Local Digest,Saturday,afternoon,afternoon,Saturday,homicide,homicide,violent,A 21-year-old woman was fatally,homicide,Northeast Washington,Northeast Washington,commercial,commercial,outdoors
344,"D.C. postal worker stole $1.7M, prosecutors say",August 29,he altered checks and deposited them into his,evening,weekday,civil forfeiture,civil forfeiture,non-violent,"Federal prosecutors seized more than $400,000 from",theft,Northwest Washington,Northwest Washington,private,commercial,indoors
345,"Dropped charges, but derailed lives","June 25, 2018",1:44 a.m.,night,Saturday,first-degree murder,first-degree murder,violent,Kenneil Cole was charged with first-degree murder,homicide,D.C.,D.C.,private,residential,inside
346,"Pregnant woman slain, baby survives in double shooting",Thursday,11:20 a.m.,morning,Thursday,violent,Homicides,violent,The pregnant woman slain in a,homicide,37th Street SE,the 300 block of 37th Street SE,a parked car,residential,outdoors
347,Retired lieutenant pleads guilty in library shooting,Aug. 4,At the end of the day,afternoon,Friday,homicide,involuntary manslaughter,violent,A former D.C. police lieutenant,homicide,Anacostia Neighborhood Library,Anacostia Neighborhood Library,public,D.C.,indoors
348,New bid to stop toll lanes in Md.,Friday,Friday,Friday,Friday,toll lanes,toll lanes,non-violent,Environmental and historic preservation groups file a motion Friday,Maryland Department of Transportation,Maryland,Maryland Department of Transportation and the Federal Highway Administration failed,public,residential,outdoor
349,Baltimore to pay $48 million to three men wrongly imprisoned for 36 years,November 1983,afternoon,afternoon,Thanksgiving Day,murder,murder,violent,Three men who spent 36 years in prison for ,homicide,Harlem Park Junior High,Harlem Park Junior High,school,residential,hallway
350,"Suit alleges federal employee praised Nazism, Hitler at work",19 October 2023,FINAL B03,evening,Halloween,harassment,harassment,non-violent,A supervisor at a federal agency ignored employees',sex abuse,Government Publishing Office,U.S. District Court,workplace,workplace,indoors
351,Antisemitic incidents reported at schools,December,a group of five young men who allegedly,night,weekday,antisemitic,antisemitic,non-violent,Two students joked about burning Jewish people at the,swastikas drawn on classroom desk,Walt Whitman High School,Walt Whitman High School,public,off campus,off campus
352,Local Digest,6 February 2023,8:30 p.m.,evening,Saturday,armed abduction,armed abduction,violent,A woman was found slain in Prince,homicide,Northwest Washington,3300 block of Curtis Drive,private,residential,indoors
353,"12-year-old charged in 9 separate carjackings, thefts, assaults in Southeast",March 21 and April 29,"Most incidents were after school hours, largely between",evening,"Most incidents were after school hours, largely between",carjackings,carjackings,violent,A 12-year-old has been charged in nine,robbery,Southeast Washington,Southeast Washington,private,commercial,outside
354,"Five people shot, killed this week in D.C.",25 March 2023,evening,evening,weekday,Homicides,homicides,violent,Five people younger than 25 were fatally shot in,homicide,the 4400 block of E Street SE,22nd Street and Alabama Ave. SE,public,residential,outdoors
355,"Man sentenced to 27 years in killing of girlfriend, whose body is missing",Friday,while her son was asleep in a nearby bedroom,night,Friday,murder,second-degree murder,violent,"Darnell Sterling, 57, was found guilty",homicide,Northwest D.C.,D.C.,private,residential,outside
356,Four men sentenced for 10-year-old's killing,"July 16, 2018",Friday,night,Friday,murder,first-degree murder,violent,Four D.C. men were sentenced Friday,homicide,the courtyard of an apartment complex,the 300 block of 53rd Street NE,courtyard,residential,courtyard
357,Centreville woman gets prison in fentanyl death,21 October 2023,Friday,evening,Friday,selling illicit painkillers laced with ,conspiring to distribute fentanyl,non-violent,"Roshanda Graham, 44, of Centreville",homicide,Leesburg,Centreville,private,commercial,indoors
358,Officer shot just out of academy,Thursday,shortly before 5 p.m.,afternoon,Thursday,Violent crime,Violent crime,Violent,A D.C. police officer who authorities said,homicide,Naylor Gardens area,"Gainesville Street, in the Naylor",public,residential,outdoor
359,Proud Boys trial could tell Jan. 6 story,"Jan. 6, 2021",afternoon,night,Jan. 6,seditious conspiracy,seditious conspiracy,violent,"Former Proud Boys chairman Henry ""Enrique",seditious conspiracy,the U.S. Capitol,"Washington, D.C.",Capitol,street,outdoor
360,City leaders discuss how to reduce youth crime,15 January 2023,3 o'clock in the morning,3 o'clock in the morning,Saturday,youth,homicide,violent,"D.C. officials, including Police Chief Robert",robbery,Anacostia Arts Center,Anacostia Arts Center,public,residential,outdoor
361,Judge puts Shaw's Foster House in receivership,15 April 2023,Thursday,evening,weekday,neglect,neglect,non-violent,A D.C. judge ruled this week,burglary,Shaw,Foster House at 801 Rhode Island Avenue NW,private,residential,indoors
362,Psychologist: Suspect in fatal Metro shooting exaggerating mental issues,Feb. 1,9 a.m,morning,February,fatal,fatal,violent,"Isaiah Trotman, 31, had been transferred",homicide,Potomac Avenue station,Potomac Avenue station,public,commuters,indoors
363,What happened to Maryland's runaway zebras? Our reporters have some answers.,11 November 2023,l,"lBizarrely, 2021 was",weekday,animal cruelty,animal cruelty,animal cruelty,Reporters Katie Mettler and Maura Ju,sex abuse,Maryland,Maryland,private,Maryland,outdoor
364,Slain Md. teacher was school 'favorite',"July 29,",evening,evening,weekend,murder,murder,violent,Police say the remains are of a teacher who,homicide,Schrom Hills Park,Schrom Hills Park,private,residential,outdoors
365,Girl killed in fight outside McDonald's had been full of dreams,"Aug. 27, a week before D.C",after 2 a.m.,night,day before the first school bell of the year,homicides,homicide,violent,Naima Liggon was fatally ,homicide,Northwest Washington,14th and U streets in Northwest Washington,outside a McDonald's,commercial,outside a McDonald's
366,"At least 5 killed, 6 wounded in spate of D.C. shootings",Friday afternoon to late Saturday afternoon,afternoon,night,Friday afternoon to late Saturday afternoon,shootings,shootings,violent,A spate of nine shootings across the District left,homicide,Shaw,Shaw,public,residential,in a parking lot
367,"Man arrested, charged with first-degree murder in killings of wife and son",3 September 2023,evening,evening,Thursday,murder,murder,violent,"Michael Burch Jr., 25, shot his wife",homicide,Tall Timber Court,1900 block of Tall Timber Court,private,residential,outside
368,"Bystander is killed by gunfire from afternoon dispute in Shaw, police say",Thursday,afternoon,afternoon,Thursday,homicide,homicide,violent,A bystander was fatally shot Thursday afternoon,homicide,Shaw neighborhood,Shaw neighborhood,public,commercial,outside
369,Deputy not charged in fatal shooting,July 20,a confrontation between Deputy Domenic Mas,evening,weekday,fatal shooting,fatal shooting,violent,A Montgomery County sheriff's deputy will not,homicide,outside a townhouse in Gaithersburg,Gaithersburg,outside a townhouse,residential,outside
370,Man charged in killing of 6-year-old dies in jail,"July 16, 2021",early,evening,Thursday,murder,murder,violent,A man charged with fatally shooting 6-year-,homicide,Southeast's Congress Heights neighborhood,Congress Heights neighborhood,public,neighborhood,outdoors
